Data de Início da Vigência,qtd
2002-06,1
2014-09,1
2015-09,1
2016-09,1
2017-09,1
2018-07,1
2018-09,1
2019-04,1
2019-07,1
2019-09,1
2019-10,1
2020-04,1
2020-07,1
2020-09,1
2021-04,1
2021-05,2
2021-06,1
2021-07,3
2021-09,1
2021-12,1
2022-01,1
2022-03,3
2022-04,1
2022-05,2
2022-07,1
2022-09,2
2022-10,1
2022-11,1
2022-12,3
2023-01,1
2023-02,3
2023-03,3
2023-04,28
2023-05,65
2023-06,113
2023-07,227
2023-08,246
2023-09,224
2023-10,470
2023-11,308
2023-12,290
2024-01,880
2024-02,955
2024-03,1669
2024-04,1785
2024-05,2940
2024-06,8834
2024-07,10387
2024-08,12376
2024-09,9755
2024-10,13059
2024-11,9333
2024-12,7725
2025-01,12723
2025-02,11433
2025-03,13826
2025-04,11211
2025-05,12696
2025-06,11083
2025-07,12775
2025-08,5687
2025-09,1727
2025-10,16
2025-11,8
2026-02,1
2026-04,2
2026-07,2
2027-05,3
